Time,Stimulus,Raw F3,Raw F4,F3-Cz,F4-Cz,F3-CMA,F4-CMA
0.2265675,0,-0.08944661,2.194016,2.27890939,4.562372,-0.0894465435384611,2.19401606646154
0.2304738,0,-7.345399,3.268769,-7.9440849,2.6700831,-7.34539904184615,3.26876895815385
0.2343802,0,-5.518559,3.711248,-3.828852,5.400955,-5.51855920646154,3.71124779353846
0.2382865,0,-3.063847,0.902999,-1.496409,2.470437,-3.06384700369231,0.902998996307692
0.2421928,0,-5.652252,0.3373215,-3.131365,2.8582085,-5.65225205123077,0.33732144876923
0.2460992,0,-4.848974,6.410008,-2.015803,9.243179,-4.84897403292308,6.41000796707692
0.2500055,0,-2.593287,2.683118,-1.192156,4.084249,-2.59328703061539,2.68311796938461
0.2539119,0,-2.29265,1.741779,-1.8910746,2.1433544,-2.29264992984615,1.74177907015385
0.2578182,0,-7.576595,1.396087,-5.043386,3.929296,-7.57659505476923,1.39608694523077
0.2617245,0,0.1056404,1.887173,-1.2709206,0.510612,0.105640390769231,1.88717299076923
0.2656309,0,0.8458635,0.8452546,0.7337686,0.7331597,0.845863504153846,0.845254604153846
0.2695372,0,-2.375984,2.930249,-1.623507,3.682726,-2.37598392549231,2.93024907450769
0.2734435,0,3.698523,1.858161,2.383804,0.543442,3.69852302046154,1.85816102046154
0.2773499,0,-0.5576642,-3.051602,2.6119678,0.11803,-0.557664240153846,-3.05160204015385
0.2812562,0,-2.137543,2.057345,-3.493125,0.701763,-2.13754303230769,2.05734496769231
0.2851625,0,-4.340756,-1.98089,-3.4776803,-1.1178143,-4.34075598307692,-1.98088998307692
0.2890689,0,-5.508363,-3.66931,-5.60122786,-3.76217486,-5.50836276861538,-3.66930976861538
0.2929752,0,-1.826522,-4.389834,-1.2187741,-3.7820861,-1.826522,-4.389834
0.2968816,0,-2.290551,-0.1518718,0.590793,2.7294722,-2.29055103492308,-0.151871834923077
0.3007879,0,0.6244678,-7.449855,5.6907978,-2.383525,0.624467692307693,-7.44985510769231
0.3046942,0,1.345458,-9.374573,7.421146,-3.298885,1.34545817384615,-9.37457282615385
0.3086006,0,-1.224018,-6.60273,4.142766,-1.235946,-1.22401809846154,-6.60273009846154
0.3125069,0,-3.955089,-2.773914,2.714243,3.895418,-3.95508895384615,-2.77391395384615
0.3164132,0,-1.806821,0.1052109,2.4922,4.4042319,-1.80682088969231,0.105211010307692
0.3203196,0,-2.918553,-1.025072,1.325151,3.218632,-2.91855275415385,-1.02507175415385
0.3242259,0,-4.610559,-1.584994,-1.703549,1.322016,-4.610559,-1.584994
0.3281322,0,-5.617113,2.189904,-4.6969112,3.1101058,-5.61711287692308,2.18990412307692
0.3320386,0,0.5685284,-0.7061769,0.8984284,-0.3762769,0.568528436,-0.706176864
0.3359449,0,3.054099,-0.3205187,5.732417,2.3577993,3.05409904307692,-0.320518656923077
0.3398513,0,5.953938,-1.390846,9.035528,1.690744,5.95393812916923,-1.39084587083077
0.3437576,0,0.5560681,1.234501,4.0104251,4.688858,0.556067995076923,1.23450089507692
0.3476639,0,1.293945,-0.3393022,4.258657,2.6254098,1.29394500092308,-0.339302199076923
0.3515702,0,1.958524,-3.042061,6.187844,1.187259,1.95852401723077,-3.04206098276923
0.3554766,0,0.8669688,-0.4718566,2.3469808,1.0081554,0.866968908,-0.471856492
0.3593829,0,-0.2376006,-3.267828,0.5085898,-2.5216376,-0.237600609230769,-3.26782800923077
0.3632893,0,-2.177905,-1.023339,0.180864,1.33543,-2.17790496169231,-1.02333896169231
